week,month,writing,pomodori,article,exercise,reading,Week_avg,Note
2,January,75,100,75,100,71,84.2,
3,January,75,75,50,100,57,71.4,
4,January,50,50,50,100,71,64.2,
5,January,100,100,50,67,86,80.6,
6,February,75,75,100,67,100,83.4,
7,February,75,100,100,67,86,85.6,
8,February,75,100,75,67,57,74.8,
9,February,100,75,75,100,71,84.2,
10,March,0,0,25,33,71,25.8,Sjuk
11,March,25,50,50,33,86,48.8,Sao Paulo
12,March,75,100,100,100,86,92.2,
13,March,100,100,75,100,86,92.2,
14,April,75,100,75,100,71,84.2,
15,April,75,100,100,100,86,92.2,
16,April,100,100,75,100,100,95,
17,April,75,100,100,100,71,89.2,
18,May,50,100,50,100,86,77.2,
19,May,50,25,75,100,71,64.2,
20,May,50,75,50,100,71,69.2,
21,May,75,50,75,100,43,68.6,
22,May,75,100,100,33,43,70.2,
23,June,67,67,67,33,71,61,
24,June,75,75,75,100,57,76.4,
25,June,67,33,67,67,86,64,
26,June,50,100,100,67,71,77.6,
27,July,50,75,75,100,100,80,
28,July,NA,NA,NA,NA,NA,NA,Semester
29,July,NA,NA,NA,NA,NA,NA,Semester
30,July,NA,NA,NA,NA,NA,NA,Semester
31,August,NA,NA,NA,NA,NA,NA,Semester
32,August,50,100,100,100,86,87.2,
33,August,25,0,50,100,43,43.6,England
34,August,0,25,0,0,86,22.2,Sjuk
35,August,75,75,50,67,86,70.6,
36,September,25,75,50,67,43,52,
37,September,75,75,50,33,57,58,
38,September,50,50,50,33,57,48,
39,September,100,50,75,100,71,79.2,
40,October,50,100,100,67,57,74.8,
41,October,50,50,50,67,100,63.4,Sjuk ons + tor
42,October,75,75,75,67,86,75.6,
43,October,75,75,75,67,86,75.6,
44,October,75,100,100,100,100,95,
45,November,25,50,75,67,71,57.6,Course...
46,November,50,75,100,67,100,78.4,
47,November,75,50,100,100,86,82.2,
48,November,0,25,75,67,71,47.6,Course...
49,December,75,75,75,33,71,65.8,
50,December,50,75,50,67,43,57,
51,December,75,100,100,67,57,79.8,
